DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
TOTAL,"222,629"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/20,8 Economic,,Local,SOLR,16,
04/20,8 Economic,,System,SOLR,90,426
04/20,8 Economic,,System,WIND,0,0
04/20,9 Economic,,Local,SOLR,65,
04/20,9 Economic,,Local,WIND,0,
04/20,9 Economic,,System,SOLR,533,1059
04/20,9 Economic,,System,WIND,1,1
04/20,10 Economic,,Local,SOLR,28,19
04/20,10 Economic,,System,SOLR,313,803
04/20,10 Economic,,System,WIND,1,1
04/20,10 SelfSchCut,,Local,SOLR,0,
04/20,11 Economic,,Local,SOLR,17,
04/20,11 Economic,,System,SOLR,77,409
04/20,11 Economic,,System,WIND,0,0
04/20,12 Economic,,Local,SOLR,131,91
04/20,12 Economic,,System,SOLR,451,892
04/20,12 Economic,,System,WIND,0,0
04/20,12 SelfSchCut,,Local,SOLR,0,
04/20,13 Economic,,Local,SOLR,165,92
04/20,13 Economic,,Local,WIND,0,
04/20,13 Economic,,System,SOLR,749,1154
04/20,13 Economic,,System,WIND,0,0
04/20,13 SelfSchCut,,Local,SOLR,0,
04/20,14 Economic,,Local,SOLR,82,92
04/20,14 Economic,,System,SOLR,678,855
04/20,14 Economic,,System,WIND,0,0
